April 2026 	Shawwal 1447 - Dhul Qadah 1447

Day 	Fajr 	Sunrise 	Dhuhr 	Asr 	Maghrib 	Isha
1 	05:08 AM 	06:34 AM 	12:51 PM 	04:25 PM 	07:09 PM 	08:29 PM
2 	05:07 AM 	06:32 AM 	12:51 PM 	04:25 PM 	07:09 PM 	08:30 PM
3 	05:05 AM 	06:31 AM 	12:51 PM 	04:25 PM 	07:10 PM 	08:31 PM
4 	05:03 AM 	06:30 AM 	12:50 PM 	04:26 PM 	07:11 PM 	08:32 PM
5 	05:02 AM 	06:28 AM 	12:50 PM 	04:26 PM 	07:12 PM 	08:33 PM
6 	05:00 AM 	06:27 AM 	12:50 PM 	04:26 PM 	07:12 PM 	08:34 PM
7 	04:59 AM 	06:26 AM 	12:50 PM 	04:26 PM 	07:13 PM 	08:35 PM
8 	04:57 AM 	06:24 AM 	12:49 PM 	04:26 PM 	07:14 PM 	08:36 PM
9 	04:56 AM 	06:23 AM 	12:49 PM 	04:26 PM 	07:15 PM 	08:37 PM
10 	04:54 AM 	06:22 AM 	12:49 PM 	04:26 PM 	07:16 PM 	08:38 PM
11 	04:53 AM 	06:20 AM 	12:49 PM 	04:26 PM 	07:16 PM 	08:39 PM
12 	04:51 AM 	06:19 AM 	12:48 PM 	04:27 PM 	07:17 PM 	08:40 PM
13 	04:50 AM 	06:18 AM 	12:48 PM 	04:27 PM 	07:18 PM 	08:41 PM
14 	04:48 AM 	06:16 AM 	12:48 PM 	04:27 PM 	07:19 PM 	08:42 PM
15 	04:46 AM 	06:15 AM 	12:48 PM 	04:27 PM 	07:20 PM 	08:43 PM
16 	04:45 AM 	06:14 AM 	12:47 PM 	04:27 PM 	07:20 PM 	08:44 PM
17 	04:43 AM 	06:13 AM 	12:47 PM 	04:27 PM 	07:21 PM 	08:45 PM
18 	04:42 AM 	06:11 AM 	12:47 PM 	04:27 PM 	07:22 PM 	08:46 PM
19 	04:40 AM 	06:10 AM 	12:47 PM 	04:27 PM 	07:23 PM 	08:47 PM
20 	04:39 AM 	06:09 AM 	12:46 PM 	04:27 PM 	07:24 PM 	08:48 PM
21 	04:37 AM 	06:08 AM 	12:46 PM 	04:27 PM 	07:24 PM 	08:49 PM
22 	04:36 AM 	06:06 AM 	12:46 PM 	04:28 PM 	07:25 PM 	08:50 PM
23 	04:34 AM 	06:05 AM 	12:46 PM 	04:28 PM 	07:26 PM 	08:52 PM
24 	04:33 AM 	06:04 AM 	12:46 PM 	04:28 PM 	07:27 PM 	08:53 PM
25 	04:32 AM 	06:03 AM 	12:45 PM 	04:28 PM 	07:28 PM 	08:54 PM
26 	04:30 AM 	06:02 AM 	12:45 PM 	04:28 PM 	07:28 PM 	08:55 PM
27 	04:29 AM 	06:01 AM 	12:45 PM 	04:28 PM 	07:29 PM 	08:56 PM
28 	04:27 AM 	06:00 AM 	12:45 PM 	04:28 PM 	07:30 PM 	08:57 PM
29 	04:26 AM 	05:59 AM 	12:45 PM 	04:28 PM 	07:31 PM 	08:58 PM
30 	04:25 AM 	05:57 AM 	12:45 PM 	04:28 PM 	07:32 PM 	08:59 PM
