August 2025 	Safar 1447 - Rabi ul Awal 1447
Day 	Fajr 	Sunrise 	Dhuhr 	Asr 	Maghrib 	Isha
1 	04:22 AM 	05:57 AM 	12:54 PM 	04:39 PM 	07:50 PM 	09:20 PM
2 	04:23 AM 	05:57 AM 	12:54 PM 	04:39 PM 	07:49 PM 	09:19 PM
3 	04:24 AM 	05:58 AM 	12:54 PM 	04:38 PM 	07:48 PM 	09:17 PM
4 	04:25 AM 	05:59 AM 	12:54 PM 	04:38 PM 	07:47 PM 	09:16 PM
5 	04:26 AM 	06:00 AM 	12:54 PM 	04:38 PM 	07:46 PM 	09:15 PM
6 	04:27 AM 	06:00 AM 	12:53 PM 	04:38 PM 	07:45 PM 	09:14 PM
7 	04:28 AM 	06:01 AM 	12:53 PM 	04:37 PM 	07:44 PM 	09:12 PM
8 	04:29 AM 	06:02 AM 	12:53 PM 	04:37 PM 	07:43 PM 	09:11 PM
9 	04:31 AM 	06:03 AM 	12:53 PM 	04:37 PM 	07:42 PM 	09:10 PM
10 	04:32 AM 	06:03 AM 	12:53 PM 	04:36 PM 	07:41 PM 	09:08 PM
11 	04:33 AM 	06:04 AM 	12:53 PM 	04:36 PM 	07:40 PM 	09:07 PM
12 	04:34 AM 	06:05 AM 	12:53 PM 	04:36 PM 	07:39 PM 	09:06 PM
13 	04:35 AM 	06:06 AM 	12:52 PM 	04:35 PM 	07:37 PM 	09:04 PM
14 	04:36 AM 	06:06 AM 	12:52 PM 	04:35 PM 	07:36 PM 	09:03 PM
15 	04:37 AM 	06:07 AM 	12:52 PM 	04:34 PM 	07:35 PM 	09:01 PM
16 	04:38 AM 	06:08 AM 	12:52 PM 	04:34 PM 	07:34 PM 	09:00 PM
17 	04:39 AM 	06:09 AM 	12:52 PM 	04:34 PM 	07:33 PM 	08:58 PM
18 	04:40 AM 	06:09 AM 	12:51 PM 	04:33 PM 	07:32 PM 	08:57 PM
19 	04:41 AM 	06:10 AM 	12:51 PM 	04:33 PM 	07:31 PM 	08:55 PM
20 	04:42 AM 	06:11 AM 	12:51 PM 	04:32 PM 	07:29 PM 	08:54 PM
21 	04:43 AM 	06:12 AM 	12:51 PM 	04:32 PM 	07:28 PM 	08:53 PM
22 	04:44 AM 	06:12 AM 	12:50 PM 	04:31 PM 	07:27 PM 	08:51 PM
23 	04:45 AM 	06:13 AM 	12:50 PM 	04:30 PM 	07:26 PM 	08:50 PM
24 	04:46 AM 	06:14 AM 	12:50 PM 	04:30 PM 	07:24 PM 	08:48 PM
25 	04:47 AM 	06:15 AM 	12:50 PM 	04:29 PM 	07:23 PM 	08:46 PM
26 	04:48 AM 	06:15 AM 	12:49 PM 	04:29 PM 	07:22 PM 	08:45 PM
27 	04:49 AM 	06:16 AM 	12:49 PM 	04:28 PM 	07:20 PM 	08:43 PM
28 	04:50 AM 	06:17 AM 	12:49 PM 	04:27 PM 	07:19 PM 	08:42 PM
29 	04:51 AM 	06:17 AM 	12:48 PM 	04:27 PM 	07:18 PM 	08:40 PM
30 	04:52 AM 	06:18 AM 	12:48 PM 	04:26 PM 	07:16 PM 	08:39 PM
31 	04:53 AM 	06:19 AM 	12:48 PM 	04:25 PM 	07:15 PM 	08:37 PM
