December 2025 	Jumada Al-Akhirah 1447 - Rajab 1447

Day 	Fajr 	Sunrise 	Dhuhr 	Asr 	Maghrib 	Isha
1 	06:08 AM 	07:35 AM 	12:37 PM 	03:18 PM 	05:37 PM 	07:01 PM
2 	06:08 AM 	07:36 AM 	12:37 PM 	03:18 PM 	05:37 PM 	07:01 PM
3 	06:09 AM 	07:37 AM 	12:37 PM 	03:18 PM 	05:36 PM 	07:01 PM
4 	06:10 AM 	07:38 AM 	12:38 PM 	03:18 PM 	05:36 PM 	07:01 PM
5 	06:11 AM 	07:39 AM 	12:38 PM 	03:18 PM 	05:36 PM 	07:01 PM
6 	06:11 AM 	07:40 AM 	12:39 PM 	03:18 PM 	05:36 PM 	07:01 PM
7 	06:12 AM 	07:40 AM 	12:39 PM 	03:18 PM 	05:37 PM 	07:01 PM
8 	06:13 AM 	07:41 AM 	12:39 PM 	03:18 PM 	05:37 PM 	07:01 PM
9 	06:13 AM 	07:42 AM 	12:40 PM 	03:18 PM 	05:37 PM 	07:01 PM
10 	06:14 AM 	07:43 AM 	12:40 PM 	03:19 PM 	05:37 PM 	07:02 PM
11 	06:15 AM 	07:44 AM 	12:41 PM 	03:19 PM 	05:37 PM 	07:02 PM
12 	06:15 AM 	07:44 AM 	12:41 PM 	03:19 PM 	05:37 PM 	07:02 PM
13 	06:16 AM 	07:45 AM 	12:42 PM 	03:19 PM 	05:38 PM 	07:02 PM
14 	06:17 AM 	07:46 AM 	12:42 PM 	03:20 PM 	05:38 PM 	07:03 PM
15 	06:17 AM 	07:46 AM 	12:43 PM 	03:20 PM 	05:38 PM 	07:03 PM
16 	06:18 AM 	07:47 AM 	12:43 PM 	03:20 PM 	05:38 PM 	07:04 PM
17 	06:18 AM 	07:48 AM 	12:44 PM 	03:21 PM 	05:39 PM 	07:04 PM
18 	06:19 AM 	07:48 AM 	12:44 PM 	03:21 PM 	05:39 PM 	07:04 PM
19 	06:19 AM 	07:49 AM 	12:45 PM 	03:22 PM 	05:40 PM 	07:05 PM
20 	06:20 AM 	07:49 AM 	12:45 PM 	03:22 PM 	05:40 PM 	07:05 PM
21 	06:21 AM 	07:50 AM 	12:46 PM 	03:23 PM 	05:41 PM 	07:06 PM
22 	06:21 AM 	07:50 AM 	12:46 PM 	03:23 PM 	05:41 PM 	07:06 PM
23 	06:21 AM 	07:51 AM 	12:47 PM 	03:24 PM 	05:42 PM 	07:07 PM
24 	06:22 AM 	07:51 AM 	12:47 PM 	03:24 PM 	05:42 PM 	07:07 PM
25 	06:22 AM 	07:52 AM 	12:48 PM 	03:25 PM 	05:43 PM 	07:08 PM
26 	06:23 AM 	07:52 AM 	12:48 PM 	03:25 PM 	05:43 PM 	07:09 PM
27 	06:23 AM 	07:52 AM 	12:49 PM 	03:26 PM 	05:44 PM 	07:09 PM
28 	06:23 AM 	07:53 AM 	12:49 PM 	03:27 PM 	05:45 PM 	07:10 PM
29 	06:24 AM 	07:53 AM 	12:50 PM 	03:27 PM 	05:45 PM 	07:10 PM
30 	06:24 AM 	07:53 AM 	12:50 PM 	03:28 PM 	05:46 PM 	07:11 PM
31 	06:24 AM 	07:53 AM 	12:51 PM 	03:29 PM 	05:47 PM 	07:12 PM
