February 2026 	Shaban 1447 - Ramadan 1447

Day 	Fajr 	Sunrise 	Dhuhr 	Asr 	Maghrib 	Isha
1 	06:19 AM 	07:45 AM 	01:01 PM 	03:55 PM 	06:17 PM 	07:38 PM
2 	06:18 AM 	07:44 AM 	01:01 PM 	03:56 PM 	06:18 PM 	07:39 PM
3 	06:18 AM 	07:43 AM 	01:01 PM 	03:57 PM 	06:19 PM 	07:40 PM
4 	06:17 AM 	07:42 AM 	01:01 PM 	03:58 PM 	06:20 PM 	07:41 PM
5 	06:16 AM 	07:42 AM 	01:01 PM 	03:59 PM 	06:21 PM 	07:42 PM
6 	06:16 AM 	07:41 AM 	01:02 PM 	04:00 PM 	06:22 PM 	07:43 PM
7 	06:15 AM 	07:40 AM 	01:02 PM 	04:00 PM 	06:23 PM 	07:44 PM
8 	06:14 AM 	07:39 AM 	01:02 PM 	04:01 PM 	06:24 PM 	07:44 PM
9 	06:13 AM 	07:38 AM 	01:02 PM 	04:02 PM 	06:25 PM 	07:45 PM
10 	06:12 AM 	07:37 AM 	01:02 PM 	04:03 PM 	06:26 PM 	07:46 PM
11 	06:11 AM 	07:36 AM 	01:02 PM 	04:03 PM 	06:27 PM 	07:47 PM
12 	06:11 AM 	07:35 AM 	01:02 PM 	04:04 PM 	06:28 PM 	07:48 PM
13 	06:10 AM 	07:34 AM 	01:02 PM 	04:05 PM 	06:29 PM 	07:49 PM
14 	06:09 AM 	07:33 AM 	01:02 PM 	04:06 PM 	06:30 PM 	07:50 PM
15 	06:08 AM 	07:32 AM 	01:02 PM 	04:06 PM 	06:31 PM 	07:50 PM
16 	06:07 AM 	07:31 AM 	01:02 PM 	04:07 PM 	06:31 PM 	07:51 PM
17 	06:06 AM 	07:30 AM 	01:01 PM 	04:08 PM 	06:32 PM 	07:52 PM
18 	06:05 AM 	07:29 AM 	01:01 PM 	04:08 PM 	06:33 PM 	07:53 PM
19 	06:04 AM 	07:28 AM 	01:01 PM 	04:09 PM 	06:34 PM 	07:54 PM
20 	06:03 AM 	07:27 AM 	01:01 PM 	04:10 PM 	06:35 PM 	07:55 PM
21 	06:02 AM 	07:26 AM 	01:01 PM 	04:10 PM 	06:36 PM 	07:56 PM
22 	06:01 AM 	07:24 AM 	01:01 PM 	04:11 PM 	06:37 PM 	07:56 PM
23 	05:59 AM 	07:23 AM 	01:01 PM 	04:11 PM 	06:38 PM 	07:57 PM
24 	05:58 AM 	07:22 AM 	01:01 PM 	04:12 PM 	06:39 PM 	07:58 PM
25 	05:57 AM 	07:21 AM 	01:01 PM 	04:13 PM 	06:40 PM 	07:59 PM
26 	05:56 AM 	07:20 AM 	01:00 PM 	04:13 PM 	06:41 PM 	08:00 PM
27 	05:55 AM 	07:18 AM 	01:00 PM 	04:14 PM 	06:42 PM 	08:01 PM
28 	05:54 AM 	07:17 AM 	01:00 PM 	04:14 PM 	06:42 PM 	08:02 PM
