January 2026 	Rajab 1447 - Shaban 1447

Day 	Fajr 	Sunrise 	Dhuhr 	Asr 	Maghrib 	Isha
1 	06:25 AM 	07:54 AM 	12:51 PM 	03:30 PM 	05:48 PM 	07:13 PM
2 	06:25 AM 	07:54 AM 	12:52 PM 	03:30 PM 	05:48 PM 	07:13 PM
3 	06:25 AM 	07:54 AM 	12:52 PM 	03:31 PM 	05:49 PM 	07:14 PM
4 	06:25 AM 	07:54 AM 	12:52 PM 	03:32 PM 	05:50 PM 	07:15 PM
5 	06:25 AM 	07:54 AM 	12:53 PM 	03:33 PM 	05:51 PM 	07:15 PM
6 	06:25 AM 	07:54 AM 	12:53 PM 	03:33 PM 	05:52 PM 	07:16 PM
7 	06:26 AM 	07:54 AM 	12:54 PM 	03:34 PM 	05:52 PM 	07:17 PM
8 	06:26 AM 	07:54 AM 	12:54 PM 	03:35 PM 	05:53 PM 	07:18 PM
9 	06:26 AM 	07:54 AM 	12:55 PM 	03:36 PM 	05:54 PM 	07:19 PM
10 	06:26 AM 	07:54 AM 	12:55 PM 	03:37 PM 	05:55 PM 	07:19 PM
11 	06:26 AM 	07:54 AM 	12:55 PM 	03:37 PM 	05:56 PM 	07:20 PM
12 	06:26 AM 	07:54 AM 	12:56 PM 	03:38 PM 	05:57 PM 	07:21 PM
13 	06:26 AM 	07:54 AM 	12:56 PM 	03:39 PM 	05:58 PM 	07:22 PM
14 	06:25 AM 	07:54 AM 	12:57 PM 	03:40 PM 	05:59 PM 	07:23 PM
15 	06:25 AM 	07:53 AM 	12:57 PM 	03:41 PM 	06:00 PM 	07:23 PM
16 	06:25 AM 	07:53 AM 	12:57 PM 	03:42 PM 	06:01 PM 	07:24 PM
17 	06:25 AM 	07:53 AM 	12:58 PM 	03:43 PM 	06:02 PM 	07:25 PM
18 	06:25 AM 	07:52 AM 	12:58 PM 	03:43 PM 	06:03 PM 	07:26 PM
19 	06:25 AM 	07:52 AM 	12:58 PM 	03:44 PM 	06:04 PM 	07:27 PM
20 	06:24 AM 	07:52 AM 	12:59 PM 	03:45 PM 	06:05 PM 	07:28 PM
21 	06:24 AM 	07:51 AM 	12:59 PM 	03:46 PM 	06:06 PM 	07:29 PM
22 	06:24 AM 	07:51 AM 	12:59 PM 	03:47 PM 	06:07 PM 	07:29 PM
23 	06:23 AM 	07:50 AM 	12:59 PM 	03:48 PM 	06:08 PM 	07:30 PM
24 	06:23 AM 	07:50 AM 	01:00 PM 	03:49 PM 	06:09 PM 	07:31 PM
25 	06:23 AM 	07:49 AM 	01:00 PM 	03:50 PM 	06:10 PM 	07:32 PM
26 	06:22 AM 	07:49 AM 	01:00 PM 	03:50 PM 	06:11 PM 	07:33 PM
27 	06:22 AM 	07:48 AM 	01:00 PM 	03:51 PM 	06:12 PM 	07:34 PM
28 	06:21 AM 	07:48 AM 	01:00 PM 	03:52 PM 	06:13 PM 	07:35 PM
29 	06:21 AM 	07:47 AM 	01:01 PM 	03:53 PM 	06:14 PM 	07:36 PM
30 	06:20 AM 	07:46 AM 	01:01 PM 	03:54 PM 	06:15 PM 	07:36 PM
31 	06:20 AM 	07:45 AM 	01:01 PM 	03:55 PM 	06:16 PM 	07:37 PM
