July 2025 	Muharram 1447 - Safar 1447

Day 	Fajr 	   Sunrise 	Dhuhr 	   Asr     	Maghrib   	Isha
1 	03:53 AM 	05:37 AM 	12:51 PM 	04:38 PM 	08:05 PM 	09:43 PM
2 	03:54 AM 	05:38 AM 	12:52 PM 	04:38 PM 	08:05 PM 	09:43 PM
3 	03:54 AM 	05:38 AM 	12:52 PM 	04:39 PM 	08:04 PM 	09:42 PM
4 	03:55 AM 	05:39 AM 	12:52 PM 	04:39 PM 	08:04 PM 	09:42 PM
5 	03:56 AM 	05:39 AM 	12:52 PM 	04:39 PM 	08:04 PM 	09:42 PM
6 	03:56 AM 	05:40 AM 	12:52 PM 	04:39 PM 	08:04 PM 	09:41 PM
7 	03:57 AM 	05:40 AM 	12:53 PM 	04:39 PM 	08:04 PM 	09:41 PM
8 	03:58 AM 	05:41 AM 	12:53 PM 	04:39 PM 	08:03 PM 	09:41 PM
9 	03:59 AM 	05:41 AM 	12:53 PM 	04:39 PM 	08:03 PM 	09:40 PM
10 	04:00 AM 	05:42 AM 	12:53 PM 	04:40 PM 	08:03 PM 	09:40 PM
11 	04:00 AM 	05:42 AM 	12:53 PM 	04:40 PM 	08:03 PM 	09:39 PM
12 	04:01 AM 	05:43 AM 	12:53 PM 	04:40 PM 	08:02 PM 	09:38 PM
13 	04:02 AM 	05:44 AM 	12:53 PM 	04:40 PM 	08:02 PM 	09:38 PM
14 	04:03 AM 	05:44 AM 	12:53 PM 	04:40 PM 	08:01 PM 	09:37 PM
15 	04:04 AM 	05:45 AM 	12:54 PM 	04:40 PM 	08:01 PM 	09:36 PM
16 	04:05 AM 	05:45 AM 	12:54 PM 	04:40 PM 	08:00 PM 	09:36 PM
17 	04:06 AM 	05:46 AM 	12:54 PM 	04:40 PM 	08:00 PM 	09:35 PM
18 	04:07 AM 	05:47 AM 	12:54 PM 	04:40 PM 	07:59 PM 	09:34 PM
19 	04:08 AM 	05:47 AM 	12:54 PM 	04:40 PM 	07:59 PM 	09:33 PM
20 	04:09 AM 	05:48 AM 	12:54 PM 	04:40 PM 	07:58 PM 	09:32 PM
21 	04:10 AM 	05:49 AM 	12:54 PM 	04:40 PM 	07:58 PM 	09:31 PM
22 	04:11 AM 	05:50 AM 	12:54 PM 	04:40 PM 	07:57 PM 	09:31 PM
23 	04:12 AM 	05:50 AM 	12:54 PM 	04:40 PM 	07:56 PM 	09:30 PM
24 	04:13 AM 	05:51 AM 	12:54 PM 	04:40 PM 	07:56 PM 	09:29 PM
25 	04:14 AM 	05:52 AM 	12:54 PM 	04:40 PM 	07:55 PM 	09:28 PM
26 	04:15 AM 	05:52 AM 	12:54 PM 	04:40 PM 	07:54 PM 	09:27 PM
27 	04:16 AM 	05:53 AM 	12:54 PM 	04:40 PM 	07:54 PM 	09:25 PM
28 	04:17 AM 	05:54 AM 	12:54 PM 	04:40 PM 	07:53 PM 	09:24 PM
29 	04:19 AM 	05:55 AM 	12:54 PM 	04:39 PM 	07:52 PM 	09:23 PM
30 	04:20 AM 	05:55 AM 	12:54 PM 	04:39 PM 	07:51 PM 	09:22 PM
31 	04:21 AM 	05:56 AM 	12:54 PM 	04:39 PM 	07:50 PM 	09:21 PM
