March 2026 	Ramadan 1447 - Shawwal 1447

Day 	Fajr 	Sunrise 	Dhuhr 	Asr 	Maghrib 	Isha
1 	05:52 AM 	07:16 AM 	01:00 PM 	04:15 PM 	06:43 PM 	08:02 PM
2 	05:51 AM 	07:15 AM 	01:00 PM 	04:15 PM 	06:44 PM 	08:03 PM
3 	05:50 AM 	07:13 AM 	12:59 PM 	04:16 PM 	06:45 PM 	08:04 PM
4 	05:49 AM 	07:12 AM 	12:59 PM 	04:16 PM 	06:46 PM 	08:05 PM
5 	05:47 AM 	07:11 AM 	12:59 PM 	04:17 PM 	06:47 PM 	08:06 PM
6 	05:46 AM 	07:09 AM 	12:59 PM 	04:17 PM 	06:48 PM 	08:07 PM
7 	05:45 AM 	07:08 AM 	12:58 PM 	04:18 PM 	06:48 PM 	08:07 PM
8 	05:43 AM 	07:07 AM 	12:58 PM 	04:18 PM 	06:49 PM 	08:08 PM
9 	05:42 AM 	07:05 AM 	12:58 PM 	04:18 PM 	06:50 PM 	08:09 PM
10 	05:41 AM 	07:04 AM 	12:58 PM 	04:19 PM 	06:51 PM 	08:10 PM
11 	05:39 AM 	07:03 AM 	12:57 PM 	04:19 PM 	06:52 PM 	08:11 PM
12 	05:38 AM 	07:01 AM 	12:57 PM 	04:20 PM 	06:53 PM 	08:12 PM
13 	05:36 AM 	07:00 AM 	12:57 PM 	04:20 PM 	06:53 PM 	08:13 PM
14 	05:35 AM 	06:59 AM 	12:57 PM 	04:20 PM 	06:54 PM 	08:13 PM
15 	05:34 AM 	06:57 AM 	12:56 PM 	04:21 PM 	06:55 PM 	08:14 PM
16 	05:32 AM 	06:56 AM 	12:56 PM 	04:21 PM 	06:56 PM 	08:15 PM
17 	05:31 AM 	06:55 AM 	12:56 PM 	04:21 PM 	06:57 PM 	08:16 PM
18 	05:29 AM 	06:53 AM 	12:56 PM 	04:22 PM 	06:57 PM 	08:17 PM
19 	05:28 AM 	06:52 AM 	12:55 PM 	04:22 PM 	06:58 PM 	08:18 PM
20 	05:26 AM 	06:50 AM 	12:55 PM 	04:22 PM 	06:59 PM 	08:19 PM
21 	05:25 AM 	06:49 AM 	12:55 PM 	04:23 PM 	07:00 PM 	08:20 PM
22 	05:23 AM 	06:48 AM 	12:54 PM 	04:23 PM 	07:01 PM 	08:20 PM
23 	05:22 AM 	06:46 AM 	12:54 PM 	04:23 PM 	07:01 PM 	08:21 PM
24 	05:20 AM 	06:45 AM 	12:54 PM 	04:23 PM 	07:02 PM 	08:22 PM
25 	05:19 AM 	06:43 AM 	12:53 PM 	04:24 PM 	07:03 PM 	08:23 PM
26 	05:17 AM 	06:42 AM 	12:53 PM 	04:24 PM 	07:04 PM 	08:24 PM
27 	05:16 AM 	06:41 AM 	12:53 PM 	04:24 PM 	07:05 PM 	08:25 PM
28 	05:14 AM 	06:39 AM 	12:53 PM 	04:24 PM 	07:05 PM 	08:26 PM
29 	05:13 AM 	06:38 AM 	12:52 PM 	04:24 PM 	07:06 PM 	08:27 PM
30 	05:11 AM 	06:37 AM 	12:52 PM 	04:25 PM 	07:07 PM 	08:28 PM
31 	05:10 AM 	06:35 AM 	12:52 PM 	04:25 PM 	07:08 PM 	08:29 PM
