October 2025 	Rabi Al-Akhar 1447 - Jumada Al-Awwal 1447

Day 	Fajr 	Sunrise 	Dhuhr 	Asr 	Maghrib 	Isha
1 	05:19 AM 	06:41 AM 	12:37 PM 	03:59 PM 	06:31 PM 	07:50 PM
2 	05:20 AM 	06:42 AM 	12:37 PM 	03:58 PM 	06:30 PM 	07:49 PM
3 	05:21 AM 	06:43 AM 	12:36 PM 	03:57 PM 	06:29 PM 	07:47 PM
4 	05:22 AM 	06:44 AM 	12:36 PM 	03:56 PM 	06:27 PM 	07:46 PM
5 	05:22 AM 	06:44 AM 	12:36 PM 	03:55 PM 	06:26 PM 	07:44 PM
6 	05:23 AM 	06:45 AM 	12:36 PM 	03:54 PM 	06:25 PM 	07:43 PM
7 	05:24 AM 	06:46 AM 	12:35 PM 	03:53 PM 	06:23 PM 	07:42 PM
8 	05:25 AM 	06:47 AM 	12:35 PM 	03:52 PM 	06:22 PM 	07:40 PM
9 	05:25 AM 	06:47 AM 	12:35 PM 	03:51 PM 	06:21 PM 	07:39 PM
10 	05:26 AM 	06:48 AM 	12:34 PM 	03:50 PM 	06:19 PM 	07:38 PM
11 	05:27 AM 	06:49 AM 	12:34 PM 	03:49 PM 	06:18 PM 	07:37 PM
12 	05:28 AM 	06:50 AM 	12:34 PM 	03:48 PM 	06:17 PM 	07:35 PM
13 	05:29 AM 	06:51 AM 	12:34 PM 	03:47 PM 	06:15 PM 	07:34 PM
14 	05:29 AM 	06:51 AM 	12:33 PM 	03:46 PM 	06:14 PM 	07:33 PM
15 	05:30 AM 	06:52 AM 	12:33 PM 	03:45 PM 	06:13 PM 	07:32 PM
16 	05:31 AM 	06:53 AM 	12:33 PM 	03:44 PM 	06:11 PM 	07:30 PM
17 	05:32 AM 	06:54 AM 	12:33 PM 	03:43 PM 	06:10 PM 	07:29 PM
18 	05:32 AM 	06:55 AM 	12:33 PM 	03:42 PM 	06:09 PM 	07:28 PM
19 	05:33 AM 	06:56 AM 	12:32 PM 	03:41 PM 	06:08 PM 	07:27 PM
20 	05:34 AM 	06:56 AM 	12:32 PM 	03:41 PM 	06:07 PM 	07:26 PM
21 	05:35 AM 	06:57 AM 	12:32 PM 	03:40 PM 	06:05 PM 	07:25 PM
22 	05:36 AM 	06:58 AM 	12:32 PM 	03:39 PM 	06:04 PM 	07:24 PM
23 	05:36 AM 	06:59 AM 	12:32 PM 	03:38 PM 	06:03 PM 	07:22 PM
24 	05:37 AM 	07:00 AM 	12:32 PM 	03:37 PM 	06:02 PM 	07:21 PM
25 	05:38 AM 	07:01 AM 	12:32 PM 	03:36 PM 	06:01 PM 	07:20 PM
26 	05:39 AM 	07:02 AM 	12:31 PM 	03:35 PM 	06:00 PM 	07:19 PM
27 	05:39 AM 	07:03 AM 	12:31 PM 	03:34 PM 	05:59 PM 	07:18 PM
28 	05:40 AM 	07:04 AM 	12:31 PM 	03:34 PM 	05:58 PM 	07:17 PM
29 	05:41 AM 	07:04 AM 	12:31 PM 	03:33 PM 	05:57 PM 	07:17 PM
30 	05:42 AM 	07:05 AM 	12:31 PM 	03:32 PM 	05:56 PM 	07:16 PM
31 	05:43 AM 	07:06 AM 	12:31 PM 	03:31 PM 	05:55 PM 	07:15 PM
