September 2025 	Rabi ul Awal 1447 - Rabi Al-Akhar 1447

Day 	Fajr 	Sunrise 	Dhuhr 	Asr 	Maghrib 	Isha
1 	04:54 AM 	06:20 AM 	12:47 PM 	04:25 PM 	07:14 PM 	08:36 PM
2 	04:55 AM 	06:20 AM 	12:47 PM 	04:24 PM 	07:12 PM 	08:34 PM
3 	04:56 AM 	06:21 AM 	12:47 PM 	04:23 PM 	07:11 PM 	08:33 PM
4 	04:57 AM 	06:22 AM 	12:46 PM 	04:22 PM 	07:10 PM 	08:31 PM
5 	04:58 AM 	06:22 AM 	12:46 PM 	04:22 PM 	07:08 PM 	08:29 PM
6 	04:59 AM 	06:23 AM 	12:46 PM 	04:21 PM 	07:07 PM 	08:28 PM
7 	04:59 AM 	06:24 AM 	12:45 PM 	04:20 PM 	07:05 PM 	08:26 PM
8 	05:00 AM 	06:25 AM 	12:45 PM 	04:19 PM 	07:04 PM 	08:25 PM
9 	05:01 AM 	06:25 AM 	12:45 PM 	04:19 PM 	07:03 PM 	08:23 PM
10 	05:02 AM 	06:26 AM 	12:44 PM 	04:18 PM 	07:01 PM 	08:22 PM
11 	05:03 AM 	06:27 AM 	12:44 PM 	04:17 PM 	07:00 PM 	08:20 PM
12 	05:04 AM 	06:27 AM 	12:44 PM 	04:16 PM 	06:58 PM 	08:19 PM
13 	05:05 AM 	06:28 AM 	12:43 PM 	04:15 PM 	06:57 PM 	08:17 PM
14 	05:05 AM 	06:29 AM 	12:43 PM 	04:14 PM 	06:56 PM 	08:15 PM
15 	05:06 AM 	06:30 AM 	12:43 PM 	04:13 PM 	06:54 PM 	08:14 PM
16 	05:07 AM 	06:30 AM 	12:42 PM 	04:13 PM 	06:53 PM 	08:12 PM
17 	05:08 AM 	06:31 AM 	12:42 PM 	04:12 PM 	06:51 PM 	08:11 PM
18 	05:09 AM 	06:32 AM 	12:42 PM 	04:11 PM 	06:50 PM 	08:09 PM
19 	05:10 AM 	06:32 AM 	12:41 PM 	04:10 PM 	06:48 PM 	08:08 PM
20 	05:10 AM 	06:33 AM 	12:41 PM 	04:09 PM 	06:47 PM 	08:06 PM
21 	05:11 AM 	06:34 AM 	12:41 PM 	04:08 PM 	06:46 PM 	08:05 PM
22 	05:12 AM 	06:35 AM 	12:40 PM 	04:07 PM 	06:44 PM 	08:03 PM
23 	05:13 AM 	06:35 AM 	12:40 PM 	04:06 PM 	06:43 PM 	08:02 PM
24 	05:14 AM 	06:36 AM 	12:39 PM 	04:05 PM 	06:41 PM 	08:00 PM
25 	05:15 AM 	06:37 AM 	12:39 PM 	04:04 PM 	06:40 PM 	07:59 PM
26 	05:15 AM 	06:38 AM 	12:39 PM 	04:03 PM 	06:38 PM 	07:57 PM
27 	05:16 AM 	06:38 AM 	12:38 PM 	04:02 PM 	06:37 PM 	07:56 PM
28 	05:17 AM 	06:39 AM 	12:38 PM 	04:01 PM 	06:36 PM 	07:54 PM
29 	05:18 AM 	06:40 AM 	12:38 PM 	04:01 PM 	06:34 PM 	07:53 PM
30 	05:18 AM 	06:41 AM 	12:37 PM 	04:00 PM 	06:33 PM 	07:51 PM
